indiv_season_basin,serial_number,FishID,new_receiver_id,combined,latitude,longitude,datetime_utc,ReceiverID,Receiver,Transmitter,study_year,basin,receiver_order_south_north,length_mm,origin,VUE.Tag.ID,Tag.Family,tag_life_days,capture_date,datetime_local,palm_basin,year,week,julian_day,hour,date,T,died,filter_date,period,month,release_site,Date,season,Section,total_fish_group,first_season,number_of_fish,max_fish,new_season
1294890_summer_B,1294890,25795,133491_75.5577289960524_1,75.5577289960524,60.9406471832782,14.6170818127742,2018-06-09T17:45:06Z,133491,VR2W-133491,A69-1602-25795,1,Norrviken,34,520,Hatchery,A69-1602-25795,V13-1x-069k-1,1825,2018-06-06T22:00:00Z,2018-06-09T17:45:06Z,B,2018,23,160,18,2018-06-09,1528569906,0,2018-06-07T22:00:00Z,day,6,E,2018-06-09,summer,Lake,17,summer,1,17,summer
1294851_summer_B,1294851,25836,133493_75.5815469397236_1,75.5815469397236,60.9490039379879,14.6325430017357,2018-06-10T02:02:31Z,133493,VR2W-133493,A69-1602-25836,1,Norrviken,33,630,Hatchery,A69-1602-25836,V16-4x-069k-1,1825,2018-06-06T22:00:00Z,2018-06-10T02:02:31Z,B,2018,23,161,3,2018-06-10,1528599751,0,2018-06-07T22:00:00Z,day,6,E,2018-06-10,summer,Lake,17,summer,4,17,summer
1294846_summer_B,1294846,25831,133493_75.5815469397236_1,75.5815469397236,60.9490039379879,14.6325430017357,2018-06-10T23:05:38Z,133493,VR2W-133493,A69-1602-25831,1,Norrviken,33,520,Hatchery,A69-1602-25831,V16-4x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-10T23:05:38Z,B,2018,24,162,0,2018-06-10,1528675538,0,2018-06-09T22:00:00Z,night,6,E,2018-06-10,summer,Lake,17,summer,8,17,summer
1294890_summer_B,1294890,25795,133491_75.5577289960524_1,75.5577289960524,60.9406471832782,14.6170818127742,2018-06-11T12:28:42Z,133491,VR2W-133491,A69-1602-25795,1,Norrviken,34,520,Hatchery,A69-1602-25795,V13-1x-069k-1,1825,2018-06-06T22:00:00Z,2018-06-11T12:28:42Z,B,2018,24,162,13,2018-06-11,1528723722,0,2018-06-07T22:00:00Z,day,6,E,2018-06-11,summer,Lake,17,summer,6,17,summer
1294839_summer_B,1294839,25824,133493_75.5815469397236_1,75.5815469397236,60.9490039379879,14.6325430017357,2018-06-12T14:54:17Z,133493,VR2W-133493,A69-1602-25824,1,Norrviken,33,570,Wild,A69-1602-25824,V16-4x-069k-1,1825,2018-06-09T22:00:00Z,2018-06-12T14:54:17Z,B,2018,24,163,15,2018-06-12,1528818857,0,2018-06-10T22:00:00Z,day,6,D,2018-06-12,summer,Lake,5,summer,5,5,summer
1294853_summer_B,1294853,25758,133491_75.5577289960524_1,75.5577289960524,60.9406471832782,14.6170818127742,2018-06-14T09:47:08Z,133491,VR2W-133491,A69-1602-25758,1,Norrviken,34,510,Wild,A69-1602-25758,V13-1x-069k-1,1825,2018-06-09T22:00:00Z,2018-06-14T09:47:08Z,B,2018,24,165,10,2018-06-14,1528973228,0,2018-06-10T22:00:00Z,day,6,E,2018-06-14,summer,Lake,5,summer,4,5,summer
1294853_summer_Noret,1294853,25758,108711_75.5752444148708_1,75.5752444148708,60.9940766027592,14.5811678121116,2018-06-14T14:52:36Z,108711,VR2W-108711,A69-1602-25758,1,Noret,38,510,Wild,A69-1602-25758,V13-1x-069k-1,1825,2018-06-09T22:00:00Z,2018-06-14T14:52:36Z,Noret,2018,24,165,15,2018-06-14,1528991556,0,2018-06-10T22:00:00Z,day,6,E,2018-06-14,summer,Lake,5,summer,2,5,summer
1294842_summer_Noret,1294842,25827,108711_75.5752444148708_1,75.5752444148708,60.9940766027592,14.5811678121116,2018-06-14T15:19:41Z,108711,VR2W-108711,A69-1602-25827,1,Noret,38,540,Hatchery,A69-1602-25827,V16-4x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-14T15:19:41Z,Noret,2018,24,165,16,2018-06-14,1528993181,0,2018-06-09T22:00:00Z,day,6,E,2018-06-14,summer,Lake,17,summer,2,17,summer
1294841_summer_Noret,1294841,25826,108711_75.5752444148708_1,75.5752444148708,60.9940766027592,14.5811678121116,2018-06-17T23:17:14Z,108711,VR2W-108711,A69-1602-25826,1,Noret,38,610,Wild,A69-1602-25826,V16-4x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-17T23:17:14Z,Noret,2018,25,169,0,2018-06-17,1529281034,0,2018-06-09T22:00:00Z,night,6,E,2018-06-17,summer,Lake,5,summer,3,5,summer
1294890_summer_B,1294890,25795,133491_75.5577289960524_1,75.5577289960524,60.9406471832782,14.6170818127742,2018-06-18T02:38:51Z,133491,VR2W-133491,A69-1602-25795,1,Norrviken,34,520,Hatchery,A69-1602-25795,V13-1x-069k-1,1825,2018-06-06T22:00:00Z,2018-06-18T02:38:51Z,B,2018,25,169,3,2018-06-18,1529293131,0,2018-06-07T22:00:00Z,day,6,E,2018-06-18,summer,Lake,17,summer,6,17,summer
